"id","permit_no","type","received","received_year","received_month","approved","approved_year","approved_month","approval_msg","name","comments","duration"
50,"2005-61","CCSDP
(DDA)",2005-11-21,2005,11,2006-06-21,2006,6,,"Studio Fifteen","275 SRO units- all at 50-60% AMI",212
51,"2005-63","CCDP/VAR",2005-12-06,2005,12,2006-07-11,2006,7,"Closed Due To Inactivity","620 Cedar","CLOSED DUE TO INACTIVITY 7/11/06",
52,"2005-66","CCDP",2005-12-22,2005,12,2006-07-03,2006,7,"Closed Due To Inactivity","17th & Imperial","CLOSED DUE TO INACTIVITY 7/3/06",
53,"2005-70","CCDP",2005-12-29,2005,12,2007-07-16,2007,7,"Closed Due To Inactivity","16th & J","CLOSED DUE TO INACTIVITY 7/16/07",
54,"2005-72","CCDP",2005-12-21,2005,12,2014-06-09,2014,6,,"Ash and Kettner","290 condominiums; 29k retail",
55,"2006-01","CCDP",2006-01-17,2006,1,2006-03-28,2006,3,,"16th & Market","136 affordable apartments; 4.7 retail",71
56,"2006-02","CCDP",2006-02-27,2006,2,,,,"Closed Due To Inactivity","Workman Hotel","CLOSED DUE TO INACTIVITY",
57,"2006-14","CCSDP",2006-02-27,2006,2,2007-12-13,2007,12,,"Monaco","286 units with 9,770 sq ft of retail",654
58,"2006-15","CCSDP",2006-02-27,2006,2,2009-07-06,2009,7,"Application Closed","Riviera (APPLICATION CLOSED 070609)","409 Condominiums, 20k retail (APPLICATION CLOSED 070609)",
59,"2006-16","CCDP",2006-02-25,2006,2,,,,"Closed","Axiom","213 units (43 affordable), 8.7k retail",
60,"2006-19","CCDP",2006-02-27,2006,2,2008-10-28,2008,10,," 777 Beech","84 condominums; 8k retail",960
61,"2006-20","CCDP",2006-03-01,2006,3,2006-03-29,2006,3,,"Alta","179 condos; 12k retail",28
62,"2006-21","CCDP",2006-03-15,2006,3,2006-05-17,2006,5,,"Strata","236 units, 12,209 commercial",62
63,"2006-23","CCDP",2006-03-16,2006,3,2006-07-27,2006,7,,"Embassy 1414","99 units, 10.5k retail",131
64,"2006-24","CCDP (OPA)",2006-02-23,2006,2,2006-07-11,2006,7,,"Parkside","78 units",138
65,"2006-25","CCDP",2006-03-21,2006,3,,,,"Withdrawn","Shapery Park Tower","138 units, 2.5k retail",
66,"2006-26","CCDP",2006-04-17,2006,4,2006-07-26,2006,7,,"Library Tower","176 condominiums (16 affordable), 12k retail",99
67,"2006-27","CCDP",2006-04-21,2006,4,2006-07-27,2006,7,,"Cosmopolitan Square","290 Condominiums; 15.7k office; 12.6 retail",96
68,"2006-27A","CCDP Extension",2009-05-01,2009,5,2009-06-17,2009,6,,"Cosmopolitan Square","211 hotel rooms, 113 condominimums, 29,350 sq. ft. retail",47
69,"2006-37","CCDP",2006-05-26,2006,5,2007-04-20,2007,4,,"India and Beech","73 condominiums, 9,600 sq. ft. retail",354
70,"2006-38","CCDP",2006-06-30,2006,6,,,,"Withdrawn","Wonderbread","WITHDRAWN",
71,"2006-40","CCDP",2006-06-28,2006,6,,,,"Withdrawn","15th & Market","274 condominiums, 25k retail",
72,"2006-41","CCDP",2006-06-26,2006,6,2006-12-20,2006,12,,"Solara Tower","185 Condominiums, 15 office, 8k Retail",174
73,"2006-50","CCDP",2006-08-18,2006,8,2006-11-28,2006,11,,"Monarch School","30k School",100
74,"2006-51","CCDP",2006-09-25,2006,9,2007-05-10,2007,5,,"16th & G Gateway","525 Units + 125,693 office + 18,428 retail (incl. restored Snowflake bldg)",216
75,"2006-52","CCDP",2006-09-28,2006,9,2007-03-16,2007,3,,"Riva Trigoso","40 Condominiums, 22.2k Retail",168
76,"2006-53","CCDP",2006-09-29,2006,9,2007-02-01,2007,2,,"Hotel Indigo","210 Room Hotel",122
77,"2006-55","CCDP",2006-11-07,2006,11,2007-02-14,2007,2,,"Graybill terminal (UNOCAL site)","Grading & Environmental Site Clean-Up",97
78,"2006-61","CCDP",2006-12-21,2006,12,2007-06-27,2007,6,,"13th, Park and C Street","108 Condominiums, 16k Retail",186
79,"2006-62","CCDP/VAR",2006-12-22,2006,12,2007-04-30,2007,4,,"6th Avenue Office Condominiums/The Nolen","39k office, 2k retail",129
80,"2007-02","CCDP",2007-01-10,2007,1,2008-04-30,2008,4,,"Staybridge Suites (formerly Candlewood Suites)","126 room, 7 Story Hotel",140
81,"2007-03","CCDP",2007-01-15,2007,1,2007-04-25,2007,4,,"Citiplace (Front and Ash)","140 units, 6 story building",100
82,"2007-06","CCDP",2007-02-09,2007,2,,,,"Withdrawn","Strata (10th & Market)","WITHDRAWN",
83,"2007-19","CCDP",2007-04-13,2007,4,2012-11-21,2012,11,,"880 W. Broadway","680k office, 5k retail",218
84,"2007-19(A)","CCDP/CDP",2012-04-12,2012,4,2012-11-02,2012,11,,"880 W. Broadway Permit Extention","680k office, 5k retail",200
85,"2007-23","CCDP",2007-05-09,2007,5,,,,"Withdrawn","Columbia Tower","364 hotel rooms, 6 condos, 5k SF retail",
86,"2007-27","CCSDP",2007-06-11,2007,6,2008-07-24,2008,7,,"Bahia View Condominiums","22-story, 95 units including 6 affordable & 5 sq ft retail",409
87,"2007-28","CCDP (OPA)",2007-06-18,2007,6,2008-12-05,2008,12,"Withdrawn","Marriott Convention Hotel Ballpark Village","1,657 hotel rooms, 100 condos",
88,"2007-35","CCDP/VAR",2007-06-27,2007,6,2008-01-30,2008,1,,"Village Hotel","89 Rooms & 1500 sf Retail",217
89,"2007-35A","CCDP/VAR Extension",2012-04-26,2012,4,2012-06-14,2012,6,,"Village Hotel Development Permit Extension",,49
90,"2007-37","CCDP/VAR
(DDA)",2007-08-29,2007,8,2008-07-10,2008,7,,"Cedar Gateway","64 affordable units; 6,000 SF retail",316
91,"2007-38","CCSDP/VAR",2007-07-24,2007,7,2008-03-13,2008,3,,"The Q","Single family residence, over 29,300 sf Office and 83,000 sf Retail",233
92,"2007-38 RVD","CCSDP/VAR",2008-07-21,2008,7,2009-08-10,2009,8,,"The Q","Supercedes Permit Recorded on 7/22/08",385
93,"2007-40","CCDP",2007-07-20,2007,7,2008-02-01,2008,2,,"719 Ash","340 unit hotel & retail & 2 residential units",191
94,"2007-40A","CCDP",2012-04-26,2012,4,2012-05-30,2012,5,,"719 Ash Development Permit Extension","328 hotel rooms, 2 residential units, 10,000 sq.ft. retail",34
95,"2007-43","CCDP/VAR",2007-07-31,2007,7,2009-02-11,2009,2,,"Hotel on 8th","110 rooms & 2 restaurants (ground & roof levels)",561
96,"2007-44","CCDP (OPA)",2007-08-14,2007,8,2007-10-09,2007,10,,"1050 B","229 units (all affordable) & 13,450 sf Retail",55
97,"2007-45","CCDP",2007-09-14,2007,9,2008-01-30,2008,1,,"Lumina","40 Three-Bedroom Units, 140 Hotel Rooms",136
98,"2007-51","CCPDP",2007-10-05,2007,10,,,,"Withdrawn","7th & Market",,
99,"2007-55","CCPDP",2007-10-05,2007,10,2008-03-06,2008,3,,"Thomas Jefferson School of Law","8-story law school",153
100,"2007-56","CCCDP",2007-04-09,2007,4,2007-10-19,2007,10,,"Ash & Kettner","282 units & 20,000 sf retail",193
